股票,牛市天数,牛市占比%,数据起始,数据结束,宽松版(ADX>20)★_年化%,宽松版(ADX>20)★_回撤%,宽松版(ADX>20)★_胜率%,宽松版(ADX>20)★_夏普,宽松版(ADX>20)★_交易数,严格版(ADX>25)_年化%,严格版(ADX>25)_回撤%,严格版(ADX>25)_胜率%,严格版(ADX>25)_夏普,严格版(ADX>25)_交易数,EMA10/20无ADX_年化%,EMA10/20无ADX_回撤%,EMA10/20无ADX_胜率%,EMA10/20无ADX_夏普,EMA10/20无ADX_交易数,MACD确认替代_年化%,MACD确认替代_回撤%,MACD确认替代_胜率%,MACD确认替代_夏普,MACD确认替代_交易数,B&H_年化%,B&H_回撤%,B&H_夏普,超额收益%
DTE,493,45.8,2022-01-03,2026-04-17,-2.78,16.24,25.0,-0.28,8,1.92,8.86,50.0,0.35,2,-4.59,18.17,30.8,-0.33,14,-3.64,16.04,31.2,-0.4,16,19.86,9.96,1.29,-22.64
DUK,525,48.8,2022-01-03,2026-04-17,-1.13,14.88,30.0,-0.06,10,-0.43,11.31,42.9,0.01,7,0.76,13.16,36.4,0.15,11,-2.59,22.36,37.5,-0.27,16,18.99,11.59,1.33,-20.12
DVA,417,38.8,2022-01-03,2026-04-17,-2.37,15.5,25.0,-0.05,8,-10.45,20.75,16.7,-0.85,6,6.8,12.75,33.3,0.49,9,5.92,15.46,33.3,0.53,12,25.99,19.02,1.05,-28.36
DVN,257,23.9,2022-01-03,2026-04-17,-2.24,15.1,25.0,-0.04,4,8.45,13.27,50.0,0.69,2,-1.32,27.1,40.0,0.1,5,13.74,8.43,50.0,1.22,4,-28.16,52.2,-0.65,25.92
DXCM,400,30.1,2021-01-04,2026-04-17,-14.82,22.48,0.0,-1.48,5,-8.95,13.91,33.3,-0.93,3,-17.83,38.03,25.0,-0.82,8,-14.83,23.81,0.0,-1.31,8,-27.99,51.31,-0.64,13.17
EA,521,39.2,2021-01-04,2026-04-17,-3.38,14.43,40.0,-0.26,11,-10.45,22.35,14.3,-1.31,7,8.97,14.38,27.3,0.67,12,8.25,9.42,61.5,0.96,13,25.04,14.05,1.4,-28.42
ECL,663,61.6,2022-01-03,2026-04-17,-0.18,28.36,33.3,0.07,15,-1.07,17.18,44.4,-0.08,9,8.42,17.55,50.0,0.7,12,9.37,12.11,43.5,0.98,23,24.19,11.77,1.52,-24.37
ED,445,41.4,2022-01-03,2026-04-17,-5.75,16.14,33.3,-0.58,9,-6.58,11.77,28.6,-0.89,7,-5.36,14.74,30.0,-0.42,10,-1.86,16.35,33.3,-0.16,12,14.64,11.63,0.9,-20.39
EFX,374,34.8,2022-01-03,2026-04-17,-4.82,26.34,28.6,-0.24,7,-0.82,18.45,20.0,0.02,5,2.19,21.29,42.9,0.25,7,4.76,19.7,50.0,0.44,8,13.99,18.34,0.69,-18.81
EG,120,17.2,2023-07-10,2026-04-17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,-28.1,15.14,0.0,-2.38,6,-23.25,11.84,0.0,-2.56,5,-6.49,15.83,-0.23,6.49
EIX,528,49.1,2022-01-03,2026-04-17,8.54,7.29,50.0,1.03,8,7.06,5.99,60.0,1.04,5,5.76,14.61,33.3,0.51,16,10.05,13.19,40.0,0.99,15,11.65,34.85,0.68,-3.11
EL,215,20.0,2022-01-03,2026-04-17,-1.28,21.95,33.3,0.13,3,-13.5,19.35,0.0,-0.49,2,-26.28,28.57,20.0,-0.94,5,-1.2,13.86,60.0,0.06,5,-69.42,68.65,-1.42,68.14
ELV,215,22.5,2022-06-28,2026-04-17,-7.57,7.57,37.5,-1.85,8,-2.86,2.45,0.0,-2.24,1,-21.38,21.12,22.2,-1.98,9,-11.73,16.12,25.0,-1.59,8,-30.47,37.39,-0.97,22.9
EME,795,73.9,2022-01-03,2026-04-17,25.04,22.1,42.9,1.32,14,15.27,27.07,66.7,0.96,12,44.03,22.1,53.3,1.65,16,14.64,25.16,58.3,0.83,25,79.65,25.15,2.24,-54.61
EMN,319,29.6,2022-01-03,2026-04-17,-6.72,13.15,16.7,-0.76,6,-3.41,11.41,20.0,-0.47,5,-8.53,21.39,18.2,-0.59,11,-10.38,23.26,20.0,-1.07,10,-1.3,36.16,0.12,-5.42
EMR,576,53.5,2022-01-03,2026-04-17,-2.57,23.24,27.3,-0.07,11,-1.23,14.23,25.0,-0.05,8,-7.76,25.33,20.0,-0.33,15,7.45,16.91,42.9,0.62,14,24.24,15.46,1.06,-26.81
ENPH,110,10.2,2022-01-03,2026-04-17,-12.81,10.28,0.0,-0.6,1,0.11,7.82,100.0,0.12,1,29.86,12.43,100.0,1.05,1,0.0,0.0,0.0,0.0,0,-98.67,88.75,-2.8,85.86
