date,open,last,high,low,volume,close
2025-11-13,162.19,156.909,164.616,154.533,10238583,
2025-11-14,150.339,157.578,161.422,149.84,9677838,
2025-11-17,155.261,162.19,167.222,155.261,8774234,
2025-11-18,158.107,152.616,161.062,150.509,9321346,
2025-11-19,152.616,153.724,156.39,149.84,6499050,
2025-11-20,162.42,140.006,163.518,137.41,11373603,
2025-11-21,140.315,138.967,141.264,132.218,11191147,
2025-11-24,142.322,150.689,152.456,142.322,10818359,
2025-11-25,149.76,155.162,155.761,147.464,5467674,
2025-11-26,156.729,157.488,161.052,156.11,4853810,
2025-11-28,159.744,163.069,163.408,156.539,3232095,
2025-12-01,159.944,163.279,164.986,156.979,7882228,
2025-12-02,166.733,159.734,169.449,156.02,7657422,
2025-12-03,159.265,155.341,159.295,151.178,6756420,
2025-12-04,154.786,160.871,161.401,152.888,6303310,
2025-12-05,161.87,168.755,169.334,161.87,5815322,
2025-12-08,170.793,169.644,172.862,166.617,4272221,
2025-12-09,169.564,169.404,171.713,166.747,3709875,
2025-12-10,169.574,181.804,182.324,168.765,7966039,
2025-12-11,176.679,187.05,188.619,173.311,7468934,
2025-12-12,184.193,176.199,185.671,169.884,9677928,
2025-12-15,178.147,171.902,180.835,171.683,5781864,
2025-12-16,171.942,174.44,177.238,170.603,5857022,
2025-12-17,179.756,166.127,181.525,165.338,6693053,
2025-12-18,174.66,174.87,181.345,174.291,9147140,
2025-12-19,176.689,180.935,185.122,175.54,36269615,
2025-12-22,186.321,176.619,187.03,171.713,8685192,
2025-12-23,175.38,178.107,178.257,174.36,3721139,
2025-12-24,179.067,179.416,182.404,177.638,3067019,
2025-12-26,182.164,181.395,182.374,178.047,3351619,
2025-12-29,178.857,179.536,184.622,176.559,3906335,
2025-12-30,180.126,175.919,181.315,175.12,6007987,
2025-12-31,176.629,172.132,176.858,171.123,3552242,
2026-01-02,177.058,187.55,187.62,176.559,6808344,
2026-01-05,193.016,187.73,195.703,182.654,9826728,
2026-01-06,189.468,219.205,221.053,188.209,17178444,
2026-01-07,211.82,199.72,212.68,194.964,14305026,
2026-01-08,200.35,187.53,200.739,180.555,11902258,
2026-01-09,187.7,200.3,200.759,185.851,9887711,
2026-01-12,193.345,211.97,213.259,193.345,7465393,
2026-01-13,209.093,213.829,217.826,208.313,6485646,
2026-01-14,213.829,214.828,218.345,209.972,5611894,
