date,unit_nav
2024-11-27,1.4069
2024-11-28,1.3984
2024-11-29,1.4096
2024-12-02,1.4098
2024-12-03,1.4031
2024-12-04,1.4011
2024-12-05,1.4109
2024-12-06,1.4154
2024-12-09,1.3869
2024-12-10,1.3992
2024-12-11,1.3958
2024-12-12,1.4211
2024-12-13,1.4047
2024-12-16,1.3987
2024-12-17,1.4056
2024-12-18,1.4329
2024-12-19,1.4251
2024-12-20,1.4352
2024-12-23,1.4431
2024-12-24,1.4577
2024-12-25,1.4616
2024-12-26,1.4628
2024-12-27,1.4582
2024-12-30,1.4625
2024-12-31,1.4314
2025-01-02,1.4009
2025-01-03,1.4251
2025-01-06,1.4591
2025-01-07,1.4867
2025-01-08,1.5181
2025-01-09,1.5227
2025-01-10,1.5131
2025-01-13,1.4779
2025-01-14,1.5017
2025-01-15,1.5101
2025-01-16,1.5017
2025-01-17,1.5316
2025-01-20,1.5269
2025-01-21,1.5509
2025-01-22,1.5754
2025-01-23,1.5396
2025-01-24,1.5457
2025-01-27,1.5244
2025-02-05,1.4846
2025-02-06,1.532
2025-02-07,1.5396
2025-02-10,1.5582
2025-02-11,1.5559
2025-02-12,1.5762
2025-02-13,1.5651
2025-02-14,1.5725
2025-02-17,1.5924
2025-02-18,1.5802
2025-02-19,1.6402
2025-02-20,1.6232
2025-02-21,1.6755
2025-02-24,1.6612
2025-02-25,1.6456
2025-02-26,1.6581
2025-02-27,1.6447
2025-02-28,1.5629
2025-03-03,1.5384
2025-03-04,1.5406
2025-03-05,1.5555
2025-03-06,1.5743
2025-03-07,1.5634
2025-03-10,1.5569
2025-03-11,1.5426
2025-03-12,1.5723
2025-03-13,1.5453
2025-03-14,1.5701
2025-03-17,1.5867
2025-03-18,1.5906
2025-03-19,1.5847
2025-03-20,1.5875
2025-03-21,1.5811
2025-03-24,1.5737
2025-03-25,1.5406
2025-03-26,1.5553
2025-03-27,1.5444
2025-03-28,1.5098
2025-03-31,1.4707
2025-04-01,1.4888
2025-04-02,1.4867
2025-04-03,1.4803
2025-04-07,1.3474
2025-04-08,1.3573
2025-04-09,1.3795
2025-04-10,1.4407
2025-04-11,1.4598
2025-04-14,1.478
2025-04-15,1.47
2025-04-16,1.4584
2025-04-17,1.4711
2025-04-18,1.4684
2025-04-21,1.4802
2025-04-22,1.4664
2025-04-23,1.4912
2025-04-24,1.4764
2025-04-25,1.488
2025-04-28,1.4677
2025-04-29,1.4796
2025-04-30,1.4782
2025-05-06,1.5192
2025-05-07,1.5218
2025-05-08,1.5138
2025-05-09,1.4895
2025-05-12,1.5274
2025-05-13,1.5176
2025-05-14,1.5365
2025-05-15,1.5155
2025-05-16,1.5249
2025-05-19,1.5059
2025-05-20,1.5135
2025-05-21,1.5037
2025-05-22,1.4925
2025-05-23,1.4803
2025-05-26,1.5046
2025-05-27,1.4877
2025-05-28,1.5001
2025-05-29,1.5187
