date,unit_nav,daily_return_pct
2024-07-30,0.7539,-0.07
2024-07-31,0.7905,4.85
2024-08-01,0.7901,-0.05
2024-08-02,0.773,-2.16
2024-08-05,0.7517,-2.76
2024-08-06,0.7657,1.86
2024-08-07,0.7656,-0.01
2024-08-08,0.7631,-0.33
2024-08-09,0.7599,-0.42
2024-08-12,0.7543,-0.74
2024-08-13,0.757,0.36
2024-08-14,0.7463,-1.41
2024-08-15,0.7541,1.05
2024-08-16,0.7552,0.15
2024-08-19,0.7574,0.29
2024-08-20,0.7434,-1.85
2024-08-21,0.7454,0.27
2024-08-22,0.7313,-1.89
2024-08-23,0.7287,-0.36
2024-08-26,0.7306,0.26
2024-08-27,0.7164,-1.94
2024-08-28,0.7215,0.71
2024-08-29,0.7429,2.97
2024-08-30,0.756,1.76
2024-09-02,0.7385,-2.31
2024-09-03,0.7486,1.37
2024-09-04,0.7479,-0.09
2024-09-05,0.753,0.68
2024-09-06,0.7418,-1.49
2024-09-09,0.7398,-0.27
2024-09-10,0.7459,0.82
2024-09-11,0.747,0.15
2024-09-12,0.7397,-0.98
2024-09-13,0.7259,-1.87
2024-09-18,0.7266,0.1
2024-09-19,0.7353,1.2
2024-09-20,0.729,-0.86
2024-09-23,0.7261,-0.4
2024-09-24,0.7547,3.94
2024-09-25,0.7583,0.48
2024-09-26,0.7885,3.98
2024-09-27,0.8312,5.42
2024-09-30,0.9234,11.09
2024-10-08,1.0112,9.51
2024-10-09,0.9339,-7.64
2024-10-10,0.9196,-1.53
2024-10-11,0.8719,-5.19
2024-10-14,0.8902,2.1
2024-10-15,0.8713,-2.12
2024-10-16,0.8653,-0.69
2024-10-17,0.8635,-0.21
2024-10-18,0.9082,5.18
2024-10-21,0.9186,1.15
2024-10-22,0.9291,1.14
2024-10-23,0.9312,0.23
2024-10-24,0.9266,-0.49
2024-10-25,0.9485,2.36
2024-10-28,0.9556,0.75
2024-10-29,0.9483,-0.76
2024-10-30,0.9606,1.3
2024-10-31,0.9669,0.66
2024-11-01,0.942,-2.58
2024-11-04,0.9766,3.67
2024-11-05,1.0134,3.77
2024-11-06,1.0213,0.78
2024-11-07,1.0213,0.0
2024-11-08,1.0345,1.29
2024-11-11,1.0754,3.95
2024-11-12,1.0421,-3.1
2024-11-13,1.0435,0.13
2024-11-14,1.0094,-3.27
2024-11-15,0.983,-2.62
2024-11-18,0.953,-3.05
2024-11-19,0.997,4.62
2024-11-20,1.0215,2.46
2024-11-21,1.0187,-0.27
2024-11-22,0.9759,-4.2
2024-11-25,0.9811,0.53
2024-11-26,0.9574,-2.42
2024-11-27,0.9748,1.82
2024-11-28,0.9632,-1.19
2024-11-29,1.0027,4.1
2024-12-02,1.0275,2.47
2024-12-03,1.0271,-0.04
2024-12-04,1.0354,0.81
2024-12-05,1.0597,2.35
2024-12-06,1.0641,0.42
2024-12-09,1.0637,-0.04
2024-12-10,1.0777,1.32
2024-12-11,1.0833,0.52
2024-12-12,1.0744,-0.82
2024-12-13,1.0485,-2.41
2024-12-16,1.0376,-1.04
2024-12-17,1.0143,-2.25
2024-12-18,1.0152,0.09
2024-12-19,1.0321,1.66
2024-12-20,1.0483,1.57
2024-12-23,1.0231,-2.4
2024-12-24,1.0332,0.99
2024-12-25,1.0197,-1.31
2024-12-26,1.0427,2.26
2024-12-27,1.0337,-0.86
2024-12-30,1.0396,0.57
2024-12-31,1.0079,-3.05
2025-01-02,0.9832,-2.45
2025-01-03,0.9522,-3.15
