| date | open | last | high | low | volume | amount | exchange |
| 2025-12-30 | 6900.44 | 6896.24 | 6913.25 | 6893.47 | 1709094551 | 11786326206388 | 0 |
| 2025-12-29 | 6903.6 | 6905.74 | 6920.21 | 6888.76 | 1932051863 | 13342247832394 | 0 |
| 2025-12-26 | 6936.02 | 6929.94 | 6945.77 | 6921.6 | 1439287607 | 9974176759254 | 0 |
| 2025-12-24 | 6904.91 | 6932.05 | 6937.32 | 6904.91 | 1071393997 | 7426956756904 | 0 |
| 2025-12-23 | 6872.41 | 6909.79 | 6910.88 | 6868.81 | 2232658694 | 15427202717214 | 0 |
| 2025-12-22 | 6865.21 | 6878.49 | 6882.03 | 6855.74 | 2609671147 | 17950596887928 | 0 |
| 2025-12-19 | 6792.62 | 6834.5 | 6840.02 | 6792.62 | 6820161930 | 46612396710585 | 0 |
| 2025-12-18 | 6778.06 | 6774.76 | 6816.13 | 6758.5 | 3311865878 | 22437096475639 | 0 |
| 2025-12-17 | 6802.88 | 6721.43 | 6812.26 | 6720.43 | 3443631007 | 23146124759380 | 0 |
| 2025-12-16 | 6800.12 | 6800.26 | 6819.27 | 6759.74 | 3218286691 | 21885186253340 | 0 |
| 2025-12-15 | 6860.19 | 6816.51 | 6861.59 | 6801.49 | 3281026151 | 22365147568553 | 0 |
| 2025-12-12 | 6886.85 | 6827.41 | 6899.85 | 6801.79 | 3163284987 | 21597043553094 | 0 |
| 2025-12-11 | 6861.3 | 6901 | 6903.46 | 6833.45 | 3110588589 | 21466171852689 | 0 |
| 2025-12-10 | 6833.49 | 6886.68 | 6900.67 | 6824.69 | 3514933517 | 24206222352854 | 0 |
| 2025-12-09 | 6840.61 | 6840.51 | 6864.92 | 6837.43 | 2757882544 | 18865323121057 | 0 |
| 2025-12-08 | 6875.2 | 6846.51 | 6878.27 | 6827.19 | 3191290438 | 21849201896671 | 0 |
| 2025-12-05 | 6866.32 | 6870.4 | 6895.78 | 6858.29 | 3146162668 | 21615395994227 | 0 |
| 2025-12-04 | 6866.47 | 6857.12 | 6866.47 | 6827.12 | 2961946147 | 20310420163517 | 0 |
| 2025-12-03 | 6815.29 | 6849.72 | 6862.42 | 6810.43 | 2967644778 | 20327535788762 | 0 |
| 2025-12-02 | 6830.96 | 6829.37 | 6851.55 | 6806.71 | 2996900655 | 20466943426237 | 0 |
| 2025-12-01 | 6812.3 | 6812.63 | 6843.65 | 6799.94 | 2786724935 | 18984925893929 | 0 |
| 2025-11-28 | 6822.52 | 6849.09 | 6850.86 | 6819.75 | 1479261103 | 10131592427946 | 0 |
| 2025-11-26 | 6793.55 | 6812.61 | 6831.44 | 6783.87 | 2724579024 | 18561494304693 | 0 |
| 2025-11-25 | 6697.03 | 6765.88 | 6776.4 | 6659.98 | 3295356681 | 22295987860844 | 0 |
| 2025-11-24 | 6636.54 | 6705.12 | 6715.75 | 6630.7 | 4453666392 | 29862367598327 | 0 |
| 2025-11-21 | 6555.77 | 6602.99 | 6660.05 | 6521.92 | 4020556228 | 26547692567922 | 0 |
| 2025-11-20 | 6737.93 | 6538.76 | 6770.35 | 6534.05 | 3725506076 | 24360190109506 | 0 |
| 2025-11-19 | 6625.84 | 6642.16 | 6689.75 | 6603.5 | 3101765442 | 20602422348235 | 0 |
| 2025-11-18 | 6641.19 | 6617.32 | 6666.63 | 6574.32 | 3291906077 | 21783595921454 | 0 |
| 2025-11-17 | 6713.61 | 6672.41 | 6754.5 | 6638.9 | 3196879298 | 21330889396767 | 0 |
| 2025-11-14 | 6672.14 | 6734.11 | 6774.31 | 6646.87 | 3114116339 | 20970801979622 | 0 |
| 2025-11-13 | 6826.47 | 6737.49 | 6828.05 | 6724.72 | 3371885452 | 22718044513995 | 0 |
| 2025-11-12 | 6867.77 | 6850.92 | 6869.91 | 6829.62 | 2948317943 | 20198690362058 | 0 |
| 2025-11-11 | 6815.64 | 6846.61 | 6855.13 | 6806.87 | 2798112864 | 19157587515791 | 0 |
| 2025-11-10 | 6785.36 | 6832.43 | 6841.32 | 6770.56 | 3147459093 | 21504793930786 | 0 |
| 2025-11-07 | 6696.18 | 6728.8 | 6730.11 | 6631.44 | 3552268846 | 23902506610965 | 0 |
| 2025-11-06 | 6787.59 | 6720.32 | 6796.68 | 6707.51 | 3602126821 | 24207444917703 | 0 |
| 2025-11-05 | 6769.77 | 6796.29 | 6829.78 | 6763.11 | 3497780397 | 23771929934227 | 0 |
| 2025-11-04 | 6788.52 | 6771.55 | 6820.21 | 6766.71 | 3766080803 | 25502204461555 | 0 |
| 2025-11-03 | 6882.32 | 6851.97 | 6882.32 | 6820.62 | 3696845759 | 25330676235295 | 0 |
| 2025-10-31 | 6879.17 | 6840.2 | 6879.17 | 6814.26 | 3777566754 | 25839312110711 | 0 |
| 2025-10-30 | 6860.5 | 6822.34 | 6880.75 | 6820.69 | 3911030954 | 26682382918712 | 0 |
| 2025-10-29 | 6910.95 | 6890.59 | 6920.34 | 6851.91 | 3970463970 | 27358839327042 | 0 |
